Date,Open,High,Low,Close,Volume
2005-03-25,490.0,490.0,490.0,490.0,0
2005-03-28,490.0,490.0,490.0,490.0,0
2005-03-29,490.0,490.0,490.0,490.0,0
2005-03-30,490.0,490.0,490.0,490.0,0
2005-03-31,490.0,490.0,490.0,490.0,0
2005-04-01,490.0,490.0,490.0,490.0,0
2005-04-04,490.0,494.0,490.0,494.0,0
2005-04-05,494.0,494.0,493.0,493.0,0
2005-04-06,493.0,494.0,493.0,494.0,0
2005-04-07,494.0,494.0,494.0,494.0,0
2005-04-08,494.0,494.0,494.0,494.0,0
2005-04-11,494.0,495.0,494.0,495.0,0
2005-04-12,495.0,497.0,495.0,497.0,0
2005-04-13,497.0,497.0,497.0,497.0,0
2005-04-14,497.0,497.0,497.0,497.0,0
2005-04-15,497.0,497.0,497.0,497.0,0
2005-04-18,497.0,497.0,497.0,497.0,0
2005-04-19,497.0,497.0,497.0,497.0,0
2005-04-20,497.0,505.0,497.0,505.0,0
2005-04-21,505.0,505.0,505.0,505.0,0
2005-04-22,505.0,505.0,505.0,505.0,0
2005-04-25,505.0,505.0,505.0,505.0,0
2005-04-26,505.0,505.0,505.0,505.0,0
2005-04-27,505.0,505.0,505.0,505.0,0
2005-04-28,505.0,505.0,505.0,505.0,0
2005-04-29,505.0,505.0,505.0,505.0,0
2005-05-02,505.0,505.0,505.0,505.0,0
2005-05-03,505.0,505.0,505.0,505.0,0
2005-05-04,505.0,505.0,504.0,504.0,0
2005-05-05,504.0,504.0,504.0,504.0,0
2005-05-06,504.0,504.0,504.0,504.0,0
2005-05-09,504.0,504.0,504.0,504.0,0
2005-05-10,504.0,505.0,504.0,504.0,0
2005-05-11,504.0,505.0,504.0,505.0,0
2005-05-12,505.0,505.0,504.0,504.0,0
2005-05-13,504.0,504.0,503.0,503.0,0
2005-05-16,503.0,503.0,503.0,503.0,0
2005-05-17,503.0,505.0,503.0,505.0,0
2005-05-18,505.0,506.0,505.0,506.0,0
2005-05-19,506.0,506.0,505.0,505.0,0
2005-05-20,505.0,506.0,505.0,506.0,0
2005-05-23,506.0,506.0,506.0,506.0,0
2005-05-24,506.0,506.0,505.0,505.0,0
2005-05-25,505.0,505.0,504.0,504.0,0
2005-05-26,504.0,504.0,498.0,498.0,0
2005-05-27,498.0,498.0,498.0,498.0,0
2005-05-30,498.0,498.0,498.0,498.0,0
2005-05-31,498.0,507.0,498.0,507.0,0
2005-06-01,507.0,509.0,494.0,494.0,0
2005-06-02,494.0,508.0,494.0,495.0,0
2005-06-03,495.0,495.0,495.0,495.0,0
2005-06-06,495.0,495.0,494.0,494.0,0
2005-06-07,494.0,494.0,490.0,490.0,0
2005-06-08,490.0,491.0,473.0,473.0,0
2005-06-09,473.0,490.0,473.0,490.0,0
2005-06-10,490.0,490.0,490.0,490.0,0
2005-06-13,490.0,491.0,490.0,491.0,0
2005-06-14,491.0,491.0,433.0,490.0,0
2005-06-15,490.0,490.0,490.0,490.0,0
2005-06-16,490.0,490.0,410.0,410.0,0
2005-06-17,410.0,410.0,390.0,390.0,0
2005-06-20,390.0,390.0,390.0,390.0,0
2005-06-21,390.0,400.0,390.0,400.0,0
2005-06-22,400.0,413.0,400.0,413.0,0
2005-06-23,413.0,413.0,413.0,413.0,0
2005-06-24,413.0,413.0,413.0,413.0,0
2005-06-27,413.0,413.0,405.0,405.0,0
2005-06-28,405.0,412.0,405.0,412.0,0
2005-06-29,412.0,415.0,412.0,415.0,0
2005-06-30,415.0,415.0,414.0,414.0,0
2005-07-01,414.0,419.0,414.0,419.0,0
2005-07-04,419.0,427.0,414.0,427.0,0
2005-07-05,427.0,427.0,419.0,419.0,0
2005-07-06,419.0,460.0,419.0,460.0,0
2005-07-07,460.0,460.0,460.0,460.0,0
2005-07-08,460.0,460.0,459.0,459.0,0
2005-07-11,459.0,459.0,459.0,459.0,0
2005-07-12,459.0,470.0,459.0,470.0,0
2005-07-13,470.0,470.0,470.0,470.0,0
2005-07-14,470.0,480.0,470.0,480.0,0
2005-07-15,480.0,480.0,480.0,480.0,0
2005-07-18,480.0,480.0,480.0,480.0,0
2005-07-19,480.0,480.0,480.0,480.0,0
2005-07-20,480.0,480.0,480.0,480.0,0
2005-07-21,480.0,480.0,480.0,480.0,0
2005-07-22,480.0,480.0,480.0,480.0,0
2005-07-25,480.0,485.0,480.0,485.0,0
2005-07-26,485.0,485.0,480.0,480.0,0
2005-07-27,480.0,485.0,480.0,485.0,0
2005-07-28,485.0,485.0,480.0,480.0,0
2005-07-29,480.0,481.0,480.0,481.0,0
2005-08-01,481.0,481.0,481.0,481.0,0
2005-08-02,481.0,481.0,481.0,481.0,0
2005-08-03,482.0,487.0,482.0,484.0,0
2005-08-04,484.0,486.0,484.0,486.0,0
2005-08-05,486.0,486.0,480.0,480.0,0
2005-08-08,480.0,480.0,480.0,480.0,0
2005-08-09,480.0,485.0,480.0,485.0,0
2005-08-10,485.0,485.0,484.0,484.0,0
2005-08-11,484.0,484.0,481.0,481.0,0
2005-08-12,481.0,481.0,481.0,481.0,0
2005-08-15,481.0,481.0,481.0,481.0,0
2005-08-16,481.0,481.0,481.0,481.0,0
2005-08-17,481.0,481.0,480.0,480.0,0
2005-08-18,480.0,485.0,480.0,485.0,0
2005-08-19,485.0,485.0,485.0,485.0,0
2005-08-22,485.0,485.0,485.0,485.0,0
2005-08-23,485.0,485.0,485.0,485.0,0
2005-08-24,485.0,486.0,485.0,486.0,0
2005-08-25,486.0,486.0,486.0,486.0,0
2005-08-26,486.0,486.0,465.0,465.0,0
2005-08-29,465.0,486.0,465.0,486.0,0
2005-08-30,486.0,486.0,486.0,486.0,0
2005-08-31,463.0,463.0,452.0,452.0,0
2005-09-01,452.0,452.0,452.0,452.0,0
2005-09-02,460.0,460.0,460.0,460.0,0
2005-09-05,460.0,460.0,460.0,460.0,0
2005-09-06,460.0,460.0,460.0,460.0,0
2005-09-07,460.0,460.0,460.0,460.0,0
2005-09-08,460.0,460.0,460.0,460.0,0
2005-09-09,460.0,460.0,460.0,460.0,0
2005-09-12,460.0,460.0,460.0,460.0,0
2005-09-13,460.0,460.0,460.0,460.0,0
2005-09-14,460.0,460.0,460.0,460.0,0
2005-09-15,460.0,460.0,460.0,460.0,0
2005-09-16,460.0,460.0,460.0,460.0,0
2005-09-19,460.0,460.0,460.0,460.0,0
2005-09-20,460.0,460.0,460.0,460.0,0
2005-09-21,472.5,485.0,460.0,472.5,0
2005-09-22,460.0,460.0,450.0,455.0,0
2005-09-23,455.0,455.0,450.0,450.0,0
2005-09-26,450.0,455.0,450.0,455.0,0
2005-09-27,455.0,455.0,452.0,452.0,0
2005-09-28,452.0,452.0,451.0,451.0,0
2005-09-29,451.0,455.0,451.0,455.0,0
2005-09-30,455.0,455.0,455.0,455.0,0
2005-10-03,455.0,455.0,453.0,453.0,0
2005-10-04,453.0,453.0,450.0,452.0,0
2005-10-05,452.0,453.0,452.0,453.0,0
2005-10-06,453.0,453.0,453.0,453.0,0
2005-10-07,453.0,453.0,453.0,453.0,0
2005-10-10,453.0,453.0,453.0,453.0,0
2005-10-11,453.0,453.0,453.0,453.0,0
2005-10-12,453.0,453.0,447.0,447.0,0
2005-10-13,447.0,452.0,447.0,452.0,0
2005-10-14,452.0,452.0,452.0,452.0,0
2005-10-17,452.0,452.0,450.0,450.0,0
2005-10-18,450.0,450.0,450.0,450.0,0
2005-10-19,450.0,455.0,450.0,455.0,0
2005-10-20,455.0,455.0,455.0,455.0,0
2005-10-21,455.0,456.0,455.0,456.0,0
2005-10-24,456.0,456.0,452.0,452.0,0
2005-10-25,452.0,452.0,447.0,447.0,0
2005-10-26,447.0,447.0,447.0,447.0,0
2005-10-27,447.0,447.0,447.0,447.0,0
2005-10-28,447.0,452.0,447.0,452.0,0
2005-10-31,452.0,452.0,452.0,452.0,0
2005-11-01,452.0,452.0,452.0,452.0,0
2005-11-02,452.0,452.0,452.0,452.0,0
2005-11-03,452.0,452.0,450.0,450.0,0
2005-11-04,450.0,450.0,450.0,450.0,0
2005-11-07,450.0,453.0,450.0,453.0,0
2005-11-08,453.0,453.0,453.0,453.0,0
2005-11-09,453.0,453.0,453.0,453.0,0
2005-11-10,453.0,453.0,453.0,453.0,0
2005-11-11,453.0,453.0,453.0,453.0,0
2005-11-14,453.0,453.0,453.0,453.0,0
2005-11-15,453.0,453.0,446.0,446.0,0
2005-11-16,446.0,446.0,446.0,446.0,0
2005-11-17,446.0,450.0,446.0,450.0,0
2005-11-18,74.55000305175781,457.0,74.55000305175781,457.0,0
2005-11-21,457.0,457.0,457.0,457.0,0
2005-11-22,457.0,457.0,447.0,447.0,0
2005-11-23,447.0,447.0,447.0,447.0,0
2005-11-24,447.0,447.0,447.0,447.0,0
2005-11-25,447.0,447.0,447.0,447.0,0
2005-11-28,447.0,447.0,447.0,447.0,0
2005-11-29,447.0,447.0,447.0,447.0,0
2005-11-30,447.0,447.0,447.0,447.0,0
2005-12-01,447.0,447.0,447.0,447.0,0
2005-12-02,447.0,447.0,446.0,446.0,0
2005-12-05,446.0,446.0,446.0,446.0,0
2005-12-06,446.0,446.0,435.0,435.0,0
2005-12-07,435.0,435.0,435.0,435.0,0
2005-12-08,435.0,435.0,435.0,435.0,0
2005-12-09,435.0,435.0,435.0,435.0,0
